Latitude (decimal degrees):	38.496
Longitude (decimal degrees):	27.707
Elevation (m):	97
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	6.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20220729:1010,4192.32,731.52,220.9,16.78,70.26,32.94,2.41,0.0
20220729:1110,4175.28,763.17,181.84,16.73,67.01,33.82,2.83,0.0
20220729:1210,3777.72,660.62,181.25,15.19,58.31,33.84,3.1,0.0
20220729:1310,3113.46,520.47,162.64,12.82,47.47,34.04,3.45,0.0
20220729:1410,2168.64,333.38,144.82,9.68,35.89,33.78,3.31,0.0
20220729:1510,1088.58,162.82,101.01,6.31,24.17,32.85,3.45,0.0
20220729:1610,212.34,16.11,54.99,2.84,12.61,31.05,3.31,0.0
20220729:1710,0.0,0.0,3.43,0.07,1.49,28.87,2.21,0.0
20220729:1810,0.0,0.0,0.0,0.0,0.0,27.16,1.93,0.0
20220729:1910,0.0,0.0,0.0,0.0,0.0,25.69,1.45,0.0
20220729:2010,0.0,0.0,0.0,0.0,0.0,24.19,1.38,0.0
20220729:2110,0.0,0.0,0.0,0.0,0.0,22.82,1.31,0.0
20220729:2210,0.0,0.0,0.0,0.0,0.0,21.56,1.31,0.0
20220729:2310,0.0,0.0,0.0,0.0,0.0,20.38,1.31,0.0
20220730:0010,0.0,0.0,0.0,0.0,0.0,19.49,1.31,0.0
20220730:0110,0.0,0.0,0.0,0.0,0.0,18.7,1.31,0.0
20220730:0210,0.0,0.0,0.0,0.0,0.0,18.08,1.38,0.0
20220730:0310,0.0,0.0,0.0,0.0,0.0,17.43,1.45,0.0
20220730:0410,217.08,0.0,58.23,1.23,10.39,17.53,1.38,0.0
20220730:0510,947.34,133.25,93.79,5.7,21.89,20.44,1.59,0.0
20220730:0610,2115.18,320.29,129.31,9.28,33.61,22.95,1.79,0.0
20220730:0710,3080.28,500.92,157.98,12.46,45.23,25.98,1.86,0.0
20220730:0810,3769.14,650.68,177.98,14.99,56.26,28.21,1.86,0.0
20220730:0910,4205.64,766.35,179.94,16.75,65.5,30.14,2.0,0.0
20220730:1010,4353.36,806.37,184.05,17.4,70.02,31.73,2.21,0.0
20220730:1110,4234.74,764.19,190.42,16.86,66.8,32.91,2.9,0.0
20220730:1210,3856.5,687.54,171.66,15.46,58.14,33.61,3.17,0.0
20220730:1310,3161.52,531.77,162.03,12.98,47.32,33.78,3.38,0.0
20220730:1410,2250.66,368.91,126.09,10.02,35.75,33.4,3.45,0.0
20220730:1510,1112.46,177.08,92.76,6.49,24.03,32.34,3.52,0.0
20220730:1610,191.7,18.12,49.69,2.93,12.46,30.69,3.24,0.0
20220730:1710,0.0,0.0,2.57,0.05,1.33,28.76,2.48,0.0
20220730:1810,0.0,0.0,0.0,0.0,0.0,26.99,1.66,0.0
20220730:1910,0.0,0.0,0.0,0.0,0.0,25.8,1.38,0.0
20220730:2010,0.0,0.0,0.0,0.0,0.0,23.67,1.24,0.0
20220730:2110,0.0,0.0,0.0,0.0,0.0,22.14,1.1,0.0
20220730:2210,0.0,0.0,0.0,0.0,0.0,21.11,1.03,0.0
20220730:2310,0.0,0.0,0.0,0.0,0.0,20.35,0.97,0.0
20220731:0010,0.0,0.0,0.0,0.0,0.0,19.64,0.97,0.0
20220731:0110,0.0,0.0,0.0,0.0,0.0,18.98,1.03,0.0
20220731:0210,0.0,0.0,0.0,0.0,0.0,18.3,1.03,0.0
20220731:0310,0.0,0.0,0.0,0.0,0.0,17.63,1.1,0.0
20220731:0410,200.58,0.0,54.81,1.16,10.25,17.55,1.1,0.0
20220731:0510,949.38,134.8,93.05,5.7,21.76,20.4,1.31,0.0
20220731:0610,2136.78,330.33,123.9,9.35,33.48,22.6,1.59,0.0
20220731:0710,3132.12,515.06,151.46,12.57,45.1,24.83,1.86,0.0
20220731:0810,3847.02,669.63,169.33,15.14,56.1,26.8,2.0,0.0
20220731:0910,4322.58,787.9,170.11,16.91,65.3,28.63,2.55,0.0
20220731:1010,4466.82,813.69,183.39,17.47,69.78,30.13,2.97,0.0
20220731:1110,4340.76,785.74,180.63,17.02,66.58,31.3,3.31,0.0
20220731:1210,3920.1,680.53,180.06,15.44,57.96,31.94,3.79,0.0
20220731:1310,3250.74,547.02,155.49,13.11,47.16,31.98,4.21,0.0
20220731:1410,2267.46,351.97,139.68,9.89,35.61,31.46,4.28,0.0
20220731:1510,1129.2,175.96,94.75,6.47,23.88,30.46,4.0,0.0
20220731:1610,193.32,17.78,49.84,2.89,12.31,29.11,3.52,0.0
20220731:1710,0.0,0.0,0.0,0.0,0.0,27.53,2.9,0.0
20220731:1810,0.0,0.0,0.0,0.0,0.0,25.88,2.9,0.0
20220731:1910,0.0,0.0,0.0,0.0,0.0,24.69,2.9,0.0
20220731:2010,0.0,0.0,0.0,0.0,0.0,23.26,1.86,0.0
20220731:2110,0.0,0.0,0.0,0.0,0.0,22.07,1.52,0.0
20220731:2210,0.0,0.0,0.0,0.0,0.0,20.93,1.45,0.0
20220731:2310,0.0,0.0,0.0,0.0,0.0,19.88,1.38,0.0
20220801:0010,0.0,0.0,0.0,0.0,0.0,19.03,1.38,0.0
20220801:0110,0.0,0.0,0.0,0.0,0.0,18.37,1.45,0.0
20220801:0210,0.0,0.0,0.0,0.0,0.0,17.85,1.45,0.0
20220801:0310,0.0,0.0,0.0,0.0,0.0,17.43,1.45,0.0
20220801:0410,212.82,0.0,57.38,1.21,10.11,17.67,1.38,0.0
20220801:0510,935.94,119.26,102.81,5.43,21.63,20.2,1.79,0.0
20220801:0610,2106.3,311.19,133.66,9.1,33.35,22.23,2.14,0.0
20220801:0710,3137.34,516.95,145.82,12.46,44.96,24.71,2.41,0.0
20220801:0810,3911.1,683.73,155.46,15.1,55.94,26.51,3.1,0.0
20220801:0910,4395.12,800.38,158.06,16.87,65.09,28.21,3.59,0.0
20220801:1010,4495.74,816.95,174.34,17.33,69.53,29.86,3.72,0.0
20220801:1110,4375.26,788.96,172.65,16.89,66.36,30.83,4.14,0.0
20220801:1210,3934.32,683.58,172.2,15.32,57.77,31.32,4.34,0.0
20220801:1310,3248.16,548.89,148.81,12.98,47.0,31.2,4.41,0.0
20220801:1410,2268.42,358.76,130.44,9.82,35.46,30.6,4.48,0.0
20220801:1510,1118.16,174.84,92.39,6.37,23.73,29.62,4.28,0.0
20220801:1610,191.22,17.24,49.4,2.82,12.15,28.29,3.86,0.0
20220801:1710,0.0,0.0,0.0,0.0,0.0,26.73,3.1,0.0
20220801:1810,0.0,0.0,0.0,0.0,0.0,25.17,3.17,0.0
20220801:1910,0.0,0.0,0.0,0.0,0.0,24.26,3.03,0.0
20220801:2010,0.0,0.0,0.0,0.0,0.0,23.29,2.14,0.0
20220801:2110,0.0,0.0,0.0,0.0,0.0,22.35,1.79,0.0
20220801:2210,0.0,0.0,0.0,0.0,0.0,21.37,1.52,0.0
20220801:2310,0.0,0.0,0.0,0.0,0.0,20.3,1.45,0.0
20220802:0010,0.0,0.0,0.0,0.0,0.0,19.35,1.45,0.0
20220802:0110,0.0,0.0,0.0,0.0,0.0,18.64,1.52,0.0
20220802:0210,0.0,0.0,0.0,0.0,0.0,18.08,1.52,0.0
20220802:0310,0.0,0.0,0.0,0.0,0.0,17.6,1.52,0.0
20220802:0410,200.46,0.0,54.81,1.16,9.96,17.74,1.45,0.0
20220802:0510,943.38,136.71,89.96,5.62,21.5,20.45,1.72,0.0
20220802:0610,2151.0,337.82,116.9,9.3,33.22,22.55,2.28,0.0
20220802:0710,3150.6,519.84,145.15,12.46,44.82,24.92,2.62,0.0
20220802:0810,3913.98,676.87,161.83,15.05,55.78,26.96,3.45,0.0
20220802:0910,4331.58,766.73,179.8,16.62,64.88,28.76,3.59,0.0
20220802:1010,4483.02,805.77,184.94,17.27,69.28,30.08,3.66,0.0
20220802:1110,4322.76,763.39,191.33,16.73,66.12,31.08,3.79,0.0
20220802:1210,3926.4,686.68,172.55,15.34,57.58,31.66,3.93,0.0
20220802:1310,3211.62,530.48,162.92,12.86,46.84,31.77,4.14,0.0
20220802:1410,2268.06,360.31,130.72,9.82,35.3,31.23,4.34,0.0
20220802:1510,1122.72,178.0,90.72,6.38,23.57,29.89,4.55,0.0
20220802:1610,192.24,16.48,49.84,2.75,11.99,27.98,4.07,0.0
20220802:1710,0.0,0.0,0.0,0.0,0.0,25.95,3.38,0.0
20220802:1810,0.0,0.0,0.0,0.0,0.0,24.21,2.97,0.0
20220802:1910,0.0,0.0,0.0,0.0,0.0,23.37,2.21,0.0
20220802:2010,0.0,0.0,0.0,0.0,0.0,22.41,1.93,0.0
20220802:2110,0.0,0.0,0.0,0.0,0.0,21.56,1.86,0.0
20220802:2210,0.0,0.0,0.0,0.0,0.0,20.83,1.72,0.0
20220802:2310,0.0,0.0,0.0,0.0,0.0,20.18,1.66,0.0
20220803:0010,0.0,0.0,0.0,0.0,0.0,19.66,1.66,0.0
20220803:0110,0.0,0.0,0.0,0.0,0.0,19.25,1.66,0.0
20220803:0210,0.0,0.0,0.0,0.0,0.0,18.85,1.66,0.0
20220803:0310,0.0,0.0,0.0,0.0,0.0,18.44,1.59,0.0
20220803:0410,207.84,0.0,56.52,1.19,9.82,18.48,1.52,0.0
20220803:0510,921.36,113.66,104.44,5.24,21.36,20.13,1.86,0.0
20220803:0610,2089.38,311.63,129.53,8.95,33.09,22.3,2.21,0.0
20220803:0710,3088.74,499.73,153.23,12.19,44.68,25.12,2.48,0.0
20220803:0810,3804.24,651.87,171.05,14.72,55.61,27.25,2.62,0.0
20220803:0910,4271.82,767.97,171.8,16.46,64.67,29.14,3.1,0.0
20220803:1010,4397.94,792.49,186.1,17.02,69.02,30.7,3.24,0.0
20220803:1110,4244.58,765.6,182.31,16.57,65.89,32.01,3.17,0.0
20220803:1210,3789.06,649.31,188.73,14.92,57.39,32.83,3.31,0.0
20220803:1310,3115.98,510.03,169.97,12.57,46.66,33.07,3.52,0.0
20220803:1410,2179.14,332.47,143.34,9.46,35.14,32.59,4.0,0.0
20220803:1510,1084.14,156.77,103.13,6.06,23.41,31.06,4.21,0.0
20220803:1610,205.44,13.95,53.9,2.57,11.82,29.23,3.79,0.0
20220803:1710,0.0,0.0,0.0,0.0,0.0,27.27,2.97,0.0
20220803:1810,0.0,0.0,0.0,0.0,0.0,25.84,2.0,0.0
20220803:1910,0.0,0.0,0.0,0.0,0.0,24.43,1.72,0.0
20220803:2010,0.0,0.0,0.0,0.0,0.0,23.37,1.52,0.0
20220803:2110,0.0,0.0,0.0,0.0,0.0,22.48,1.45,0.0
20220803:2210,0.0,0.0,0.0,0.0,0.0,21.61,1.45,0.0
20220803:2310,0.0,0.0,0.0,0.0,0.0,20.86,1.45,0.0
20220804:0010,0.0,0.0,0.0,0.0,0.0,20.19,1.45,0.0
20220804:0110,0.0,0.0,0.0,0.0,0.0,19.59,1.45,0.0
20220804:0210,0.0,0.0,0.0,0.0,0.0,19.04,1.45,0.0
20220804:0310,0.0,0.0,0.0,0.0,0.0,18.51,1.45,0.0
20220804:0410,203.7,0.0,55.66,1.18,9.68,18.56,1.38,0.0
20220804:0510,907.92,105.1,109.49,5.08,21.23,20.64,1.66,0.0
20220804:0610,2065.8,305.34,133.6,8.86,32.95,23.11,1.86,0.0
20220804:0710,3041.58,490.11,159.41,12.08,44.53,26.14,2.0,0.0
20220804:0810,3777.18,664.14,163.32,14.76,55.44,28.23,2.07,0.0
20220804:0910,4200.78,753.74,181.28,16.33,64.46,29.81,2.48,0.0
20220804:1010,4370.04,792.7,186.42,16.98,68.76,30.92,2.83,0.0
20220804:1110,4230.84,751.28,191.77,16.44,65.64,31.34,3.03,0.0
20220804:1210,3836.1,661.53,182.07,14.97,57.19,30.84,2.97,0.0
20220804:1310,3155.88,519.68,163.41,12.59,46.49,30.84,3.17,0.0
20220804:1410,2215.74,344.7,136.03,9.53,34.97,30.7,3.45,0.0
20220804:1510,1086.84,159.16,100.61,6.04,23.24,29.81,3.59,0.0
20220804:1610,202.2,13.75,53.14,2.53,11.65,28.5,3.38,0.0
20220804:1710,0.0,0.0,0.0,0.0,0.0,26.82,2.55,0.0
20220804:1810,0.0,0.0,0.0,0.0,0.0,25.42,2.0,0.0
20220804:1910,0.0,0.0,0.0,0.0,0.0,24.02,1.86,0.0
20220804:2010,0.0,0.0,0.0,0.0,0.0,22.91,1.52,0.0
20220804:2110,0.0,0.0,0.0,0.0,0.0,21.93,1.38,0.0
20220804:2210,0.0,0.0,0.0,0.0,0.0,21.01,1.31,0.0
20220804:2310,0.0,0.0,0.0,0.0,0.0,20.17,1.38,0.0
20220805:0010,0.0,0.0,0.0,0.0,0.0,19.42,1.45,0.0
20220805:0110,0.0,0.0,0.0,0.0,0.0,18.76,1.45,0.0
20220805:0210,0.0,0.0,0.0,0.0,0.0,18.17,1.45,0.0
20220805:0310,0.0,0.0,0.0,0.0,0.0,17.68,1.45,0.0
20220805:0410,200.4,0.0,54.81,1.16,9.53,17.8,1.45,0.0
20220805:0510,905.4,96.43,115.42,4.94,21.09,19.8,1.72,0.0
20220805:0610,2036.76,278.79,150.85,8.61,32.82,21.91,2.0,0.0
20220805:0710,3013.68,463.01,176.27,11.85,44.39,25.16,2.14,0.0
20220805:0810,3735.12,616.69,193.66,14.41,55.27,27.08,2.28,0.0
20220805:0910,4218.9,740.5,190.77,16.22,64.24,28.79,2.69,0.0
20220805:1010,4382.22,779.38,194.9,16.86,68.5,30.22,3.1,0.0
20220805:1110,4272.6,767.05,182.96,16.51,65.4,31.26,3.24,0.0
20220805:1210,3834.54,662.65,181.38,14.94,56.98,31.94,3.38,0.0
20220805:1310,3163.26,530.4,156.84,12.62,46.3,32.16,3.52,0.0
20220805:1410,2206.56,344.47,136.32,9.49,34.8,31.78,3.66,0.0
20220805:1510,1078.74,162.32,97.18,6.02,23.07,30.78,3.79,0.0
20220805:1610,188.88,14.33,50.25,2.53,11.47,29.34,3.45,0.0
20220805:1710,0.0,0.0,0.0,0.0,0.0,27.54,2.76,0.0
20220805:1810,0.0,0.0,0.0,0.0,0.0,26.0,2.14,0.0
20220805:1910,0.0,0.0,0.0,0.0,0.0,25.11,1.86,0.0
20220805:2010,0.0,0.0,0.0,0.0,0.0,24.04,1.52,0.0
20220805:2110,0.0,0.0,0.0,0.0,0.0,23.07,1.38,0.0
20220805:2210,0.0,0.0,0.0,0.0,0.0,22.31,1.38,0.0
20220805:2310,0.0,0.0,0.0,0.0,0.0,21.57,1.38,0.0
20220806:0010,0.0,0.0,0.0,0.0,0.0,20.98,1.45,0.0
20220806:0110,0.0,0.0,0.0,0.0,0.0,20.42,1.45,0.0
20220806:0210,0.0,0.0,0.0,0.0,0.0,19.93,1.38,0.0
20220806:0310,0.0,0.0,0.0,0.0,0.0,19.49,1.38,0.0
20220806:0410,170.58,0.0,48.81,1.03,9.39,19.46,1.31,0.0
20220806:0510,874.5,84.21,120.62,4.68,20.95,21.01,1.59,0.0
20220806:0610,2008.5,279.39,147.38,8.52,32.68,23.1,1.79,0.0
20220806:0710,2985.78,465.87,170.68,11.76,44.24,25.66,1.86,0.0
20220806:0810,3704.34,619.84,187.91,14.32,55.1,27.63,2.07,0.0
20220806:0910,4151.64,717.85,200.07,15.95,64.02,29.01,2.55,0.0
20220806:1010,4322.94,755.53,204.22,16.57,68.23,30.07,3.03,0.0
20220806:1110,4249.32,756.89,184.16,16.31,65.14,30.85,3.31,0.0
20220806:1210,3841.74,665.85,174.54,14.83,56.76,30.99,3.45,0.0
20220806:1310,3158.58,532.39,151.13,12.51,46.11,31.48,3.52,0.0
20220806:1410,2196.48,345.16,131.82,9.39,34.62,31.03,3.59,0.0
20220806:1510,1067.7,161.14,95.65,5.93,22.9,30.37,3.66,0.0
20220806:1610,190.38,13.33,50.84,2.44,11.28,28.86,3.38,0.0
20220806:1710,0.0,0.0,0.0,0.0,0.0,27.3,2.69,0.0
20220806:1810,0.0,0.0,0.0,0.0,0.0,25.91,2.0,0.0
20220806:1910,0.0,0.0,0.0,0.0,0.0,24.9,1.66,0.0
20220806:2010,0.0,0.0,0.0,0.0,0.0,24.03,1.59,0.0
20220806:2110,0.0,0.0,0.0,0.0,0.0,23.12,1.52,0.0
20220806:2210,0.0,0.0,0.0,0.0,0.0,22.24,1.52,0.0
20220806:2310,0.0,0.0,0.0,0.0,0.0,21.44,1.52,0.0
20220807:0010,0.0,0.0,0.0,0.0,0.0,20.77,1.45,0.0
20220807:0110,0.0,0.0,0.0,0.0,0.0,20.14,1.45,0.0
20220807:0210,0.0,0.0,0.0,0.0,0.0,19.56,1.38,0.0
20220807:0310,0.0,0.0,0.0,0.0,0.0,19.09,1.38,0.0
20220807:0410,167.04,0.0,47.96,1.01,9.24,19.0,1.45,0.0
20220807:0510,836.04,58.69,133.46,4.23,20.81,20.07,1.79,0.0
20220807:0610,1905.6,216.9,184.68,7.94,32.54,21.91,2.07,0.0
20220807:0710,2813.04,357.45,234.54,10.92,44.09,24.24,2.34,0.0
20220807:0810,3758.76,614.87,194.33,14.31,54.92,26.09,2.48,0.0
20220807:0910,4231.26,724.31,200.54,16.02,63.79,28.02,3.1,0.0
20220807:1010,4419.6,792.53,186.34,16.84,67.95,29.76,3.24,0.0
20220807:1110,4285.2,764.47,183.57,16.38,64.88,30.81,3.45,0.0
20220807:1210,3859.5,672.18,174.97,14.9,56.54,31.79,3.59,0.0
20220807:1310,3164.22,527.52,157.44,12.5,45.92,31.8,3.72,0.0
20220807:1410,2208.96,348.6,131.17,9.4,34.44,30.72,3.31,0.0
20220807:1510,1068.36,159.21,97.69,5.9,22.71,30.28,3.31,0.0
20220807:1610,184.92,13.49,49.75,2.44,11.1,29.42,3.52,0.0
20220807:1710,0.0,0.0,0.0,0.0,0.0,27.64,2.76,0.0
20220807:1810,0.0,0.0,0.0,0.0,0.0,26.04,2.41,0.0
20220807:1910,0.0,0.0,0.0,0.0,0.0,24.72,1.52,0.0
20220807:2010,0.0,0.0,0.0,0.0,0.0,23.76,1.31,0.0
20220807:2110,0.0,0.0,0.0,0.0,0.0,23.1,1.31,0.0
20220807:2210,0.0,0.0,0.0,0.0,0.0,22.25,1.17,0.0
20220807:2310,0.0,0.0,0.0,0.0,0.0,21.54,1.17,0.0
20220808:0010,0.0,0.0,0.0,0.0,0.0,20.89,1.24,0.0
20220808:0110,0.0,0.0,0.0,0.0,0.0,20.31,1.24,0.0
20220808:0210,0.0,0.0,0.0,0.0,0.0,19.79,1.24,0.0
20220808:0310,0.0,0.0,0.0,0.0,0.0,19.32,1.24,0.0
20220808:0410,175.02,0.0,49.67,1.05,9.09,18.96,1.1,0.0
20220808:0510,880.2,88.44,117.33,4.68,20.67,19.86,1.31,0.0
20220808:0610,2009.82,269.96,153.64,8.37,32.4,21.5,1.79,0.0
20220808:0710,3015.3,467.84,171.41,11.72,43.94,24.63,1.93,0.0
20220808:0810,3755.22,635.52,179.63,14.36,54.74,26.6,2.07,0.0
20220808:0910,4222.56,749.7,182.52,16.1,63.56,28.25,2.48,0.0
20220808:1010,4384.2,803.43,177.36,16.82,67.67,29.6,2.48,0.0
20220808:1110,4245.24,775.28,174.62,16.37,64.62,30.68,2.55,0.0
20220808:1210,3790.14,655.92,182.27,14.7,56.32,31.04,2.55,0.0
20220808:1310,3129.0,523.63,157.71,12.39,45.72,31.3,2.76,0.0
20220808:1410,2192.16,338.41,136.22,9.26,34.25,29.57,2.9,0.0
20220808:1510,1034.16,122.4,120.34,5.41,22.53,26.24,1.45,0.0
20220808:1610,240.84,5.06,63.79,1.83,10.9,25.61,0.9,0.0
20220808:1710,0.0,0.0,0.0,0.0,0.0,25.54,1.03,0.0
20220808:1810,0.0,0.0,0.0,0.0,0.0,24.86,1.03,0.0
20220808:1910,0.0,0.0,0.0,0.0,0.0,23.66,1.17,0.0
20220808:2010,0.0,0.0,0.0,0.0,0.0,22.28,1.03,0.0
20220808:2110,0.0,0.0,0.0,0.0,0.0,21.36,1.03,0.0
20220808:2210,0.0,0.0,0.0,0.0,0.0,20.67,1.1,0.0
20220808:2310,0.0,0.0,0.0,0.0,0.0,20.2,1.1,0.0
20220809:0010,0.0,0.0,0.0,0.0,0.0,19.79,0.97,0.0
20220809:0110,0.0,0.0,0.0,0.0,0.0,19.34,1.03,0.0
20220809:0210,0.0,0.0,0.0,0.0,0.0,18.92,1.17,0.0
20220809:0310,0.0,0.0,0.0,0.0,0.0,18.53,1.17,0.0
20220809:0410,171.3,0.0,48.81,1.03,8.95,18.62,1.1,0.0
20220809:0510,872.88,83.61,120.41,4.59,20.53,20.48,1.31,0.0
20220809:0610,1996.5,266.1,156.79,8.32,32.26,22.22,1.59,0.0
20220809:0710,3027.48,470.85,170.82,11.72,43.79,24.22,1.79,0.0
20220809:0810,3781.44,638.86,180.05,14.38,54.56,25.83,2.0,0.0
20220809:0910,4230.6,738.51,192.11,16.02,63.33,27.51,2.48,0.0
20220809:1010,4415.76,807.04,177.74,16.84,67.39,28.87,2.48,0.0
20220809:1110,4230.3,749.36,193.43,16.2,64.35,29.96,2.55,0.0
20220809:1210,3678.48,577.59,230.24,14.16,56.09,30.68,2.83,0.0
20220809:1310,3177.12,536.62,151.14,12.46,45.52,29.92,2.69,0.0
20220809:1410,2197.92,340.06,135.58,9.24,34.06,29.45,2.9,0.0
20220809:1510,1050.66,145.6,104.74,5.64,22.33,28.86,3.24,0.0
20220809:1610,175.92,12.6,47.71,2.31,10.71,27.42,2.62,0.0
20220809:1710,0.0,0.0,0.0,0.0,0.0,26.39,2.34,0.0
20220809:1810,0.0,0.0,0.0,0.0,0.0,25.37,2.21,0.0
20220809:1910,0.0,0.0,0.0,0.0,0.0,24.84,1.59,0.0
20220809:2010,0.0,0.0,0.0,0.0,0.0,23.72,1.38,0.0
20220809:2110,0.0,0.0,0.0,0.0,0.0,22.57,1.24,0.0
20220809:2210,0.0,0.0,0.0,0.0,0.0,21.65,1.17,0.0
20220809:2310,0.0,0.0,0.0,0.0,0.0,20.8,1.24,0.0
20220810:0010,0.0,0.0,0.0,0.0,0.0,20.23,1.24,0.0
20220810:0110,0.0,0.0,0.0,0.0,0.0,19.64,1.31,0.0
20220810:0210,0.0,0.0,0.0,0.0,0.0,19.06,1.31,0.0
20220810:0310,0.0,0.0,0.0,0.0,0.0,18.59,1.24,0.0
20220810:0410,179.52,0.0,50.53,1.07,8.8,18.44,1.17,0.0
20220810:0510,896.82,102.1,109.31,4.83,20.39,20.31,1.52,0.0
20220810:0610,2052.54,288.44,145.0,8.5,32.12,21.89,1.79,0.0
20220810:0710,3070.68,482.82,166.38,11.81,43.64,24.08,2.0,0.0
20220810:0810,3852.54,668.08,164.31,14.56,54.38,25.72,2.21,0.0
20220810:0910,4325.46,772.61,174.12,16.24,63.09,27.36,2.9,0.0
20220810:1010,4465.14,812.82,177.11,16.87,67.1,28.78,2.9,0.0
20220810:1110,4322.7,783.48,174.36,16.4,64.07,29.51,2.9,0.0
20220810:1210,3859.14,662.57,182.06,14.72,55.85,30.0,3.03,0.0
20220810:1310,3154.56,508.84,170.29,12.26,45.31,29.49,3.03,0.0
20220810:1410,2202.6,335.29,139.73,9.19,33.86,29.17,3.24,0.0
20220810:1510,1064.88,157.85,96.6,5.75,22.14,28.56,3.31,0.0
20220810:1610,199.86,9.45,53.94,2.12,10.5,27.3,3.31,0.0
20220810:1710,0.0,0.0,0.0,0.0,0.0,25.3,3.31,0.0
20220810:1810,0.0,0.0,0.0,0.0,0.0,23.65,2.34,0.0
20220810:1910,0.0,0.0,0.0,0.0,0.0,22.73,1.66,0.0
20220810:2010,0.0,0.0,0.0,0.0,0.0,21.97,1.66,0.0
20220810:2110,0.0,0.0,0.0,0.0,0.0,21.16,1.59,0.0
20220810:2210,0.0,0.0,0.0,0.0,0.0,20.62,1.59,0.0
20220810:2310,0.0,0.0,0.0,0.0,0.0,20.25,1.59,0.0
20220811:0010,0.0,0.0,0.0,0.0,0.0,19.8,1.66,0.0
20220811:0110,0.0,0.0,0.0,0.0,0.0,19.33,1.66,0.0
20220811:0210,0.0,0.0,0.0,0.0,0.0,19.0,1.66,0.0
20220811:0310,0.0,0.0,0.0,0.0,0.0,18.57,1.59,0.0
20220811:0410,171.54,0.0,48.81,1.03,8.65,18.44,1.52,0.0
20220811:0510,897.48,98.77,111.47,4.76,20.25,19.79,1.93,0.0
20220811:0610,2094.48,301.97,137.81,8.59,31.98,21.52,2.34,0.0
20220811:0710,3144.24,504.86,153.98,11.94,43.48,23.64,2.69,0.0
20220811:0810,3930.48,671.63,164.71,14.58,54.2,25.55,3.45,0.0
20220811:0910,4355.7,761.49,182.72,16.15,62.85,27.16,3.59,0.0
20220811:1010,4487.88,785.66,196.06,16.69,66.81,28.33,3.72,0.0
20220811:1110,4296.9,727.81,210.53,16.04,63.79,28.9,3.72,0.0
20220811:1210,3815.58,605.61,218.45,14.34,55.61,29.26,3.86,0.0
20220811:1310,2762.34,318.57,270.84,10.72,45.09,29.51,4.0,0.0
20220811:1410,2214.42,336.05,139.09,9.15,33.65,29.12,4.14,0.0
20220811:1510,1062.3,155.14,97.79,5.68,21.94,28.27,4.14,0.0
20220811:1610,172.68,11.49,47.32,2.21,10.3,26.97,3.59,0.0
20220811:1710,0.0,0.0,0.0,0.0,0.0,25.35,3.1,0.0
20220811:1810,0.0,0.0,0.0,0.0,0.0,23.91,2.21,0.0
20220811:1910,0.0,0.0,0.0,0.0,0.0,22.87,1.66,0.0
20220811:2010,0.0,0.0,0.0,0.0,0.0,21.98,1.52,0.0
20220811:2110,0.0,0.0,0.0,0.0,0.0,21.13,1.52,0.0
20220811:2210,0.0,0.0,0.0,0.0,0.0,20.32,1.45,0.0
20220811:2310,0.0,0.0,0.0,0.0,0.0,19.66,1.45,0.0
20220812:0010,0.0,0.0,0.0,0.0,0.0,19.14,1.52,0.0
20220812:0110,0.0,0.0,0.0,0.0,0.0,18.59,1.52,0.0
20220812:0210,0.0,0.0,0.0,0.0,0.0,17.97,1.52,0.0
20220812:0310,0.0,0.0,0.0,0.0,0.0,17.45,1.52,0.0
20220812:0410,172.5,0.0,48.81,1.03,8.5,17.33,1.38,0.0
20220812:0510,908.58,109.83,104.26,4.86,20.11,19.56,1.66,0.0
20220812:0610,2082.42,297.38,141.01,8.52,31.83,21.8,2.14,0.0
20220812:0710,3110.46,497.18,160.31,11.86,43.33,24.39,2.21,0.0
20220812:0810,3856.92,661.72,172.21,14.49,54.01,26.13,2.34,0.0
20220812:0910,4306.8,764.12,184.19,16.17,62.61,28.05,2.76,0.0
20220812:1010,4438.8,803.22,187.21,16.78,66.52,29.56,2.76,0.0
20220812:1110,4245.42,745.14,202.88,16.15,63.5,30.9,2.83,0.0
20220812:1210,3819.78,654.8,189.93,14.63,55.36,31.65,2.9,0.0
20220812:1310,3119.28,502.97,174.97,12.15,44.87,31.72,3.24,0.0
20220812:1410,2211.9,349.86,130.8,9.22,33.44,31.14,3.66,0.0
20220812:1510,1053.84,158.49,95.24,5.68,21.73,30.0,3.86,0.0
20220812:1610,167.7,11.01,46.66,2.15,10.08,28.22,3.38,0.0
20220812:1710,0.0,0.0,0.0,0.0,0.0,26.27,2.97,0.0
20220812:1810,0.0,0.0,0.0,0.0,0.0,24.73,1.79,0.0
20220812:1910,0.0,0.0,0.0,0.0,0.0,24.0,1.66,0.0
20220812:2010,0.0,0.0,0.0,0.0,0.0,22.63,1.45,0.0
20220812:2110,0.0,0.0,0.0,0.0,0.0,21.32,1.24,0.0
20220812:2210,0.0,0.0,0.0,0.0,0.0,20.25,1.1,0.0
20220812:2310,0.0,0.0,0.0,0.0,0.0,19.56,0.9,0.0
20220813:0010,0.0,0.0,0.0,0.0,0.0,19.0,0.9,0.0
